date,stock,condition,triggered,open,close,gap,net_ret,weight
2026-08-07,SKHynix,nvda_down2 & gap_down,False,1521000,1422000,0.017391,,0.5
2026-08-07,SKHynix,nvda_down2 & kospi_down,False,1521000,1422000,0.017391,,0.5
2026-08-07,SKHynix,sox_down1 & nvda_down2,False,1521000,1422000,0.017391,,0.5
2026-08-10,SKHynix,nvda_down2 & gap_down,False,1443000,1420000,0.014768,,0.5
2026-08-10,SKHynix,nvda_down2 & kospi_down,False,1443000,1420000,0.014768,,0.5
2026-08-10,SKHynix,sox_down1 & nvda_down2,False,1443000,1420000,0.014768,,0.5
2026-08-11,SKHynix,nvda_down2 & gap_down,True,1405000,1425000,-0.010563,0.012235,0.5
2026-08-11,SKHynix,nvda_down2 & kospi_down,False,1405000,1425000,-0.010563,,0.5
2026-08-11,SKHynix,sox_down1 & nvda_down2,True,1405000,1425000,-0.010563,0.012235,0.5
2026-08-12,SKHynix,nvda_down2 & gap_down,False,1456000,1504000,0.021754,,0.5
2026-08-12,SKHynix,nvda_down2 & kospi_down,False,1456000,1504000,0.021754,,0.5
2026-08-12,SKHynix,sox_down1 & nvda_down2,False,1456000,1504000,0.021754,,0.5
2026-08-13,SKHynix,nvda_down2 & gap_down,False,1582000,1593000,0.051862,,0.5
2026-08-13,SKHynix,nvda_down2 & kospi_down,False,1582000,1593000,0.051862,,0.5
2026-08-13,SKHynix,sox_down1 & nvda_down2,False,1582000,1593000,0.051862,,0.5
2026-08-14,SKHynix,nvda_down2 & gap_down,False,1695000,1645000,0.06403,,0.5
2026-08-14,SKHynix,nvda_down2 & kospi_down,False,1695000,1645000,0.06403,,0.5
2026-08-14,SKHynix,sox_down1 & nvda_down2,False,1695000,1645000,0.06403,,0.5
2026-08-18,SKHynix,nvda_down2 & gap_down,False,1736000,1662000,0.055319,,0.5
2026-08-18,SKHynix,nvda_down2 & kospi_down,False,1736000,1662000,0.055319,,0.5
2026-08-18,SKHynix,sox_down1 & nvda_down2,False,1736000,1662000,0.055319,,0.5
2026-08-19,SKHynix,nvda_down2 & gap_down,True,1545000,1500000,-0.070397,-0.031126,0.5
2026-08-19,SKHynix,nvda_down2 & kospi_down,True,1545000,1500000,-0.070397,-0.031126,0.5
2026-08-19,SKHynix,sox_down1 & nvda_down2,True,1545000,1500000,-0.070397,-0.031126,0.5
2026-08-20,SKHynix,nvda_down2 & gap_down,False,1613000,1691000,0.075333,,0.5
2026-08-20,SKHynix,nvda_down2 & kospi_down,False,1613000,1691000,0.075333,,0.5
2026-08-20,SKHynix,sox_down1 & nvda_down2,False,1613000,1691000,0.075333,,0.5
2026-08-21,SKHynix,nvda_down2 & gap_down,False,1675000,1730000,-0.009462,,0.5
2026-08-21,SKHynix,nvda_down2 & kospi_down,False,1675000,1730000,-0.009462,,0.5
2026-08-21,SKHynix,sox_down1 & nvda_down2,False,1675000,1730000,-0.009462,,0.5
2026-08-24,SKHynix,nvda_down2 & gap_down,False,1775000,1671000,0.026012,,0.5
2026-08-24,SKHynix,nvda_down2 & kospi_down,False,1775000,1671000,0.026012,,0.5
2026-08-24,SKHynix,sox_down1 & nvda_down2,False,1775000,1671000,0.026012,,0.5
2026-08-25,SKHynix,nvda_down2 & gap_down,True,1598000,1678000,-0.043686,0.048063,0.5
2026-08-25,SKHynix,nvda_down2 & kospi_down,True,1598000,1678000,-0.043686,0.048063,0.5
2026-08-25,SKHynix,sox_down1 & nvda_down2,True,1598000,1678000,-0.043686,0.048063,0.5
