code,name,adv_krw,spread_ticks,micro_cost,cs_ref,judgment_cost
069500,KODEX200,899038156027.3572,1,0.0004173268256054,0.0048979663615367,0.001
091180,KODEX_Auto,24249156840.954365,2,0.0008255965520866,0.0068583125369791,0.001
122630,KODEX_Lev,990391199402.0636,1,0.0005027163997567,0.0099179049135496,0.001
133690,TIGER_NASDAQ100,93993575076.95831,1,0.0003352819557493,0.0016599436898653,0.001
148070,KOSEF_KTB10Y,2688954648.926587,4,0.0004828487840555,0.0008968222241457,0.001
132030,KODEX_Gold,5414246325.543651,4,0.001309922488449,0.0018011711422631,0.001309922488449
091160,KODEX_Semicon,184894737959.17062,1,0.00043362731342286363,0.008423200105995673,0.001
102970,KODEX_Securities,39877017565.79365,2,0.0010795751315533033,0.006723029073999766,0.0010795751315533033
305720,KODEX_Battery,64413555940.38095,1,0.0006519763471894689,0.008541169208994627,0.001
